bin,n,p_mean,y_mean,gap_pp,calibration_flag
"(0.56, 0.669]",1241,0.6570198872097378,0.6712328767123288,1.4212989502590978,well_calibrated
"(0.669, 0.678]",1241,0.673595805160644,0.6672038678485093,-0.6391937312134721,well_calibrated
"(0.678, 0.683]",1240,0.6805286045546078,0.6653225806451613,-1.5206023909446587,overconfident
"(0.683, 0.688]",1241,0.6856744629198653,0.6857373086220789,0.006284570221359864,well_calibrated
"(0.688, 0.693]",1240,0.6904156807485385,0.6967741935483871,0.6358512799848559,well_calibrated
"(0.693, 0.697]",1241,0.6950872588818198,0.6897663174858985,-0.5320941395921319,well_calibrated
"(0.697, 0.702]",1241,0.6997029749559399,0.7292506043513296,2.9547629395389685,underconfident
"(0.702, 0.707]",1240,0.7046201619992,0.7153225806451613,1.0702418645961331,well_calibrated
"(0.707, 0.713]",1241,0.7098515621157708,0.7252215954875101,1.5370033371739256,underconfident
"(0.713, 0.72]",1240,0.7162638660205731,0.7298387096774194,1.3574843656846247,well_calibrated
"(0.72, 0.73]",1241,0.7246092597908643,0.7389202256244963,1.4310965833632006,well_calibrated
"(0.73, 0.789]",1241,0.7431227814829248,0.7630942788074134,1.9971497324488663,underconfident
